position,id,title,model,prompt,precision,recall,hall,miss,t-precision,t-recall,t-hall,t-miss,connectivity
461,182,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-14b,filmweb_pl/new_graph,0.957,0.489,1 | 23,23 | 45,0.783,0.409,5 | 23,26 | 44,1
317,138,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-14b,default_pl/new_graph,0.902,0.673,4 | 41,18 | 55,0.976,0.571,1 | 41,30 | 70,0.8
714,209,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-14b,typed_pl/new_graph,0.976,0.69,1 | 41,18 | 58,0.585,0.571,17 | 41,18 | 42,0.786
662,193,Langer_serial_SkyShowtime,qwen3-30b-a3b-instruct-2507,typed_pl/new_graph,0.967,0.725,1 | 30,11 | 40,0.4,0.632,18 | 30,7 | 19,0.706
284,117,Langer_serial_SkyShowtime,qwen3-30b-a3b-instruct-2507,default_pl/new_graph,0.8,0.488,5 | 25,21 | 41,0.96,0.364,1 | 25,42 | 66,0.786
453,163,Langer_serial_SkyShowtime,qwen3-30b-a3b-instruct-2507,filmweb_pl/new_graph,0.92,0.821,2 | 25,5 | 28,0.68,0.486,8 | 25,18 | 35,0.926
300,125,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-30b-a3b-instruct-2507,default_pl/new_graph,0.921,0.795,3 | 38,9 | 44,0.553,0.583,17 | 38,15 | 36,0.872
457,172,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-30b-a3b-instruct-2507,filmweb_pl/new_graph,0.7,0.583,3 | 10,5 | 12,0.9,0.75,1 | 10,3 | 12,0.583
680,201,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-30b-a3b-instruct-2507,typed_pl/new_graph,0.875,0.636,2 | 16,8 | 22,0.625,0.667,6 | 16,5 | 15,0.25
714,208,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-30b-a3b-instruct-2507,typed_pl/new_graph,0.944,0.68,2 | 36,16 | 50,0.75,0.643,9 | 36,15 | 42,0.816
461,180,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-30b-a3b-instruct-2507,filmweb_pl/new_graph,0.97,0.653,1 | 33,17 | 49,0.818,0.614,6 | 33,17 | 44,1
317,137,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-30b-a3b-instruct-2507,default_pl/new_graph,0.939,0.534,2 | 33,27 | 58,0.848,0.4,5 | 33,42 | 70,0.882
284,154,Langer_serial_SkyShowtime,qwen3-32b,default_pl/new_graph,0.75,0.638,10 | 40,17 | 47,0.9,0.545,4 | 40,30 | 66,1
453,169,Langer_serial_SkyShowtime,qwen3-32b,filmweb_pl/new_graph,1,0.818,0 | 18,4 | 22,0.944,0.486,1 | 18,18 | 35,1
662,192,Langer_serial_SkyShowtime,qwen3-32b,typed_pl/new_graph,0.955,0.7,1 | 22,9 | 30,0.818,0.947,4 | 22,1 | 19,0.917
300,158,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-32b,default_pl/new_graph,0.708,0.515,7 | 24,16 | 33,0.667,0.444,8 | 24,20 | 36,0.818
457,178,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-32b,filmweb_pl/new_graph,0.909,0.667,1 | 11,5 | 15,0.818,0.75,2 | 11,3 | 12,0.692
680,200,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,qwen3-32b,typed_pl/new_graph,0.786,0.5,3 | 14,11 | 22,0.643,0.6,5 | 14,6 | 15,1
714,212,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-32b,typed_pl/new_graph,0.944,0.618,2 | 36,21 | 55,0.667,0.571,12 | 36,18 | 42,0.895
461,186,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-32b,filmweb_pl/new_graph,0.833,0.581,5 | 30,18 | 43,0.767,0.523,7 | 30,21 | 44,0.889
317,162,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,qwen3-32b,default_pl/new_graph,0.925,0.607,3 | 40,24 | 61,0.8,0.457,8 | 40,38 | 70,1
